[20-Feb-2025 09:53:19 America/Sao_Paulo] Erro de conexão: SQLSTATE[HY000] [2002] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente
[20-Feb-2025 10:11:50 America/Sao_Paulo] PHP Warning:  Erro 404: Página 'javacript' não encontrada. in C:\xampp\htdocs\Schoollibrary\index.php on line 28
[20-Feb-2025 23:35:09 America/Sao_Paulo] Erro de conexão: SQLSTATE[HY000] [1049] Unknown database 'school_libary'
[21-Feb-2025 01:08:32 America/Sao_Paulo] PHP Warning:  Erro 404: Página 'style.css.map' não encontrada. in C:\xampp\htdocs\Schoollibrary\index.php on line 28
[21-Feb-2025 01:08:32 America/Sao_Paulo] PHP Warning:  Erro 404: Página 'bootstrap.min.css.map' não encontrada. in C:\xampp\htdocs\Schoollibrary\index.php on line 28
[21-Feb-2025 01:22:42 America/Sao_Paulo] PHP Warning:  Erro 404: Página 'style.css.map' não encontrada. in C:\xampp\htdocs\Schoollibrary\index.php on line 28
[21-Feb-2025 01:22:42 America/Sao_Paulo] PHP Warning:  Erro 404: Página 'bootstrap.min.css.map' não encontrada. in C:\xampp\htdocs\Schoollibrary\index.php on line 28
[21-Feb-2025 01:23:45 America/Sao_Paulo] PHP Warning:  Erro 404: Página 'bootstrap.min.css.map' não encontrada. in C:\xampp\htdocs\Schoollibrary\index.php on line 28
[21-Feb-2025 01:23:45 America/Sao_Paulo] PHP Warning:  Erro 404: Página 'style.css.map' não encontrada. in C:\xampp\htdocs\Schoollibrary\index.php on line 28
[21-Feb-2025 01:24:05 America/Sao_Paulo] PHP Warning:  Erro 404: Página 'style.css.map' não encontrada. in C:\xampp\htdocs\Schoollibrary\index.php on line 28
[21-Feb-2025 01:24:05 America/Sao_Paulo] PHP Warning:  Erro 404: Página 'bootstrap.min.css.map' não encontrada. in C:\xampp\htdocs\Schoollibrary\index.php on line 28
[21-Feb-2025 01:24:19 America/Sao_Paulo] PHP Warning:  Erro 404: Página 'bootstrap.min.css.map' não encontrada. in C:\xampp\htdocs\Schoollibrary\index.php on line 28
[21-Feb-2025 01:24:19 America/Sao_Paulo] PHP Warning:  Erro 404: Página 'style.css.map' não encontrada. in C:\xampp\htdocs\Schoollibrary\index.php on line 28
